Date/Time,Word Count,en,zh-Hans
2025.05.25-22.39.36,88,88,0
2025.05.25-22.42.18,72,72,0
2025.05.25-22.44.11,77,77,0
2025.05.25-22.45.46,75,75,0
2025.05.25-22.54.18,75,75,43
2025.05.25-22.59.01,75,75,49
2025.06.01-14.26.34,148,148,30
2025.06.01-14.30.10,93,93,30
2025.06.01-14.44.25,83,83,26
2025.06.01-14.47.33,79,79,26
2025.06.01-15.10.40,76,76,26
2025.06.01-15.13.23,75,75,26
2025.06.01-15.15.41,74,74,26
2025.06.01-15.28.14,73,73,73
2025.06.01-15.33.27,74,74,73
2025.06.01-23.09.07,75,75,73
2025.06.01-23.09.52,75,75,74
2025.06.02-00.29.34,75,75,73
2025.06.07-12.10.52,80,80,74
2025.06.07-12.17.43,80,80,75
2025.06.07-19.34.39,123,123,71
2025.06.07-19.35.51,122,122,71
